S.No,Long,Lat,pH,EC,OC,N,P,K,S,Zn,Fe,Cu,Mn,B
170,74.86833333,17.96416667,7.65,0.75,0.36,252,12.4,777,8.6,0.78,1.8,0.6,1.65,0.56
171,74.87027778,17.96416667,7.4,0.86,0.51,357,17.1,1176,9,0.78,1.7,0.6,3.3,0.78
172,74.87444444,17.96416667,7.32,0.6,0.33,231,13.48,403,7.4,0.41,2.25,0.45,2.1,0.9
173,74.9225,17.96416667,7.72,0.78,0.54,378,12.24,672,7.2,0.36,3.17,0.92,2.4,0.72
174,74.86722222,17.96444444,7.32,0.77,0.42,294,10.35,559,8.3,0.42,2.2,0.8,1.75,0.86
175,74.87027778,17.96444444,7.41,0.59,0.63,441,13.45,693,7.4,0.35,1.95,0.7,1.7,0.64
176,74.88,17.96444444,7.77,0.6,0.39,273,15.61,403,7.7,0.7,3.8,0.5,1.4,0.88
177,74.90361111,17.96444444,7.52,0.72,0.51,357,12.2,694,8.3,0.55,2.35,0.45,3.9,0.75
178,74.88222222,17.96472222,7.47,0.67,0.72,504,13.46,694,9.6,0.35,1.8,0.75,2.1,0.8
179,74.88638889,17.96472222,7.75,0.75,0.75,525,10.18,907,7.2,0.32,2.2,0.8,1.6,0.78
180,74.91416667,17.96472222,7.8,0.88,0.3,210,13.3,716,8,0.44,2.5,0.7,2.35,0.7
181,74.88,17.965,7.8,0.56,0.54,378,13.48,436,8.4,0.67,3.3,0.42,1.3,0.85
182,74.915,17.965,7.83,0.92,0.72,504,12.2,448,7.9,0.38,3.1,0.64,2.2,0.68
183,74.85805556,17.96527778,7.8,1.7,0.21,147,9.9,772,7.2,0.25,3.11,0.45,2.62,0.82
184,74.88055556,17.96527778,7.41,0.61,0.69,483,14.65,616,8.3,0.42,1.65,0.5,3.4,0.96
185,74.89166667,17.96527778,7.7,0.64,0.66,462,16.2,425,7.5,0.35,1.85,0.55,2.9,0.7
186,74.9025,17.96527778,7.76,0.9,0.75,525,12.6,548,8.6,0.6,3.1,0.55,4.2,0.85
187,74.92222222,17.96527778,7.52,0.82,0.87,609,11.35,156,7.7,0.5,2.5,0.6,1.7,0.83
188,74.86333333,17.96555556,7.41,0.62,0.45,315,10.49,582,9.4,0.48,2.6,0.85,1.8,0.91
189,74.87166667,17.96555556,7.66,0.98,0.33,231,10.35,498,7.6,0.25,1.6,0.4,2.1,0.86
190,74.91444444,17.96555556,7.71,0.76,0.69,483,11.6,235,7.3,0.34,2.62,0.58,1.6,0.72
191,74.91694444,17.96555556,7.74,0.72,0.36,252,14.2,358,7.2,0.5,2.76,0.48,2.6,0.76
192,74.89555556,17.96583333,7.1,0.72,0.72,504,16.3,907,7.2,0.4,3.35,0.35,1.9,0.55
193,74.87416667,17.96611111,7.86,0.51,1.29,903,10.46,425,8.3,0.28,1.9,0.5,1.85,0.9
194,74.88055556,17.96611111,7.42,0.99,0.34,238,16.5,873,7,0.6,1.95,0.7,2.32,0.56
195,74.9025,17.96611111,7.81,0.91,0.39,273,14.5,537,7.5,0.55,2.9,0.6,3.35,0.8
196,74.9175,17.96611111,7.92,0.67,0.45,315,15.5,705,8.3,0.32,2.32,0.66,1.1,0.5
197,74.88277778,17.96638889,7.82,0.78,0.9,630,17.8,616,7.4,0.48,2.9,0.4,2.2,0.59
198,74.88305556,17.96638889,7.72,0.6,0.33,231,12.65,638,9.3,0.38,2.9,0.4,1.65,0.96
199,74.89111111,17.96638889,7.72,0.54,0.72,504,12.1,616,8.6,0.3,1.6,0.5,2.85,0.88
200,74.89166667,17.96638889,7.26,0.84,0.6,420,14.2,504,8.4,0.45,3.85,0.4,2.3,0.6
201,74.91777778,17.96638889,7.67,0.76,0.9,630,16.2,504,9.2,0.36,2.48,0.9,1.65,0.52
202,74.92083333,17.96638889,7.68,0.72,0.87,609,13.3,840,6.5,0.22,3.5,0.84,2.2,0.68
203,74.93166667,17.96638889,7.81,0.65,0.81,567,15.61,560,9.3,0.42,2.8,0.9,1.9,0.5
204,74.86694444,17.96666667,7.6,0.81,0.24,168,12.65,313,8.5,0.62,1.9,0.7,1.9,0.78
205,74.90444444,17.96666667,7.58,0.64,0.93,651,14.5,537,7.7,0.72,3.35,0.55,1.5,0.7
206,74.91,17.96666667,7.54,0.66,0.3,210,12.3,963,8.2,0.84,4,0.6,1.9,0.75
207,74.86527778,17.96694444,7.67,0.92,0.51,399,15.65,896,9.4,0.63,1.6,0.5,1.7,0.86
208,74.87583333,17.96694444,7.78,0.86,0.54,378,15.35,784,9.3,0.55,1.6,0.55,1.8,0.9
209,74.86666667,17.96722222,7.62,0.85,0.69,483,10.46,1187,9.6,0.55,1.9,0.6,1.95,0.9
210,74.87472222,17.96722222,7.61,0.77,0.39,273,15.6,1064,9.3,0.35,2.3,0.55,1.9,0.77
211,74.90527778,17.96722222,7.76,0.76,0.39,273,16.3,593,6.6,0.6,2.6,0.6,4.1,0.8
212,74.87333333,17.9675,7.88,0.71,0.48,336,14.65,560,7.6,0.45,2.6,0.6,1.7,0.83
213,74.87916667,17.9675,7.61,0.73,0.42,294,10.4,1344,8.4,0.7,1.8,0.6,2.2,0.83
214,74.88083333,17.9675,7.99,0.61,0.21,141,11.75,952,8.5,0.42,1.8,0.75,1.6,0.86
215,74.86833333,17.96777778,7.75,0.55,0.42,294,10.35,616,8.5,0.54,1.7,0.75,1.9,0.86
216,74.86888889,17.96777778,7.71,0.63,0.45,315,18.35,526,7.3,0.67,1.95,0.8,1.75,0.65
217,74.88083333,17.96777778,7.7,0.89,0.6,420,11.76,1344,6.5,0.48,1.85,0.8,1.9,0.8
218,74.89222222,17.96777778,7.32,0.46,0.45,315,10.2,582,6.9,0.32,4,0.34,2.6,0.65
219,74.86972222,17.96805556,7.64,0.66,0.39,273,17.1,302,8.4,0.48,2.9,0.7,1.4,0.9
220,74.87666667,17.96805556,7.78,0.55,0.84,588,9.35,761,7.6,0.65,1.5,0.5,1.7,0.62
